Id, Product Name, Description, Weight, Cost, TimeStamp 
43, WASHINGTON Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM PT
2, CALIFORNIA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM PT
24, NEVADA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM PT
2, CALIFORNIA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM PT
33, OREGON Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM PT
24, NEVADA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM PT
24, NEVADA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM PT
33, OREGON Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM PT
33, OREGON Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM PT
24, NEVADA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM PT
43, WASHINGTON Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM PT
33, OREGON Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM PT
24, NEVADA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM PT
2, CALIFORNIA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM PT
43, WASHINGTON Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM PT
43, WASHINGTON Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM PT
43, WASHINGTON Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM PT
24, NEVADA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM PT
33, OREGON Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM PT
2, CALIFORNIA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM PT
43, WASHINGTON Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM PT
24, NEVADA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM PT
2, CALIFORNIA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM PT
43, WASHINGTON Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM PT
43, WASHINGTON Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM PT
43, WASHINGTON Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM PT
43, WASHINGTON Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM PT
33, OREGON Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM PT
43, WASHINGTON Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM PT
2, CALIFORNIA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM PT
33, OREGON Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM PT
24, NEVADA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM PT
43, WASHINGTON Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM PT
24, NEVADA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM PT
33, OREGON Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM PT
24, NEVADA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM PT
43, WASHINGTON Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM PT
24, NEVADA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM PT
2, CALIFORNIA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM PT
43, WASHINGTON Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM PT
33, OREGON Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM PT
24, NEVADA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM PT
33, OREGON Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM PT
33, OREGON Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM PT
43, WASHINGTON Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM PT
24, NEVADA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM PT
24, NEVADA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM PT
2, CALIFORNIA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM PT
